1AND2AND3	(1AND2)	(1AND3)	(2AND3)	(1AND2)-3	(1AND3)-2	(2AND3)-1	1-(2AND3)	2-(1AND3)	3-(1AND2)
P36957	O43396	Q9Y3U8	P30153						
Q07955	P26583	P36578	Q04837						
P62314	P33993	Q8WWM7	Q13347						
P06576	P10155	P07919	P62857						
P62979	Q86TU7	Q8IVF2	P62269						
Q16543	Q8N766	O00533	P41252						
O43143	Q13310	Q9NUK0	P21333						
Q12907	P60903	P49773	Q03252						
P09972	P36915	P50395	P16403						
Q9UL46	Q13509	Q3LXA3	Q9NZM1						
Q9Y3D6	P18206	O43396	P09622						
P63104	P46777	P26583	P34897						
P51116	Q09028	P33993	Q9Y3U8						
Q92544	P36957	P10155	P36578						
P21926	Q07955	Q86TU7	Q8WWM7						
P60228	P62314	Q8N766	P07919						
P62937	P06576	Q13310	Q8IVF2						
O60506	P62979	P60903	O00533						
Q06587	Q16543	P36915	P46060						
Q9BPX5	O43143	Q13509	P49773						
Q9Y3E1	Q12907	P18206	O60678						
P63220	P09972	P46777	P50395						
P24752	Q9UL46	Q09028	Q3LXA3						
P26599	Q9Y3D6	P36957	O43396						
P62310	P63104	Q07955	P26583						
Q86TX2	P51116	P62314	P33993						
P04040	Q92544	P61163	P10155						
P63173	P21926	P06576	Q86TU7						
P61024	P60228	P62979	Q8N766						
P05386	P62937	Q16543	Q13310						
P22087	O60506	O43143	P60903						
P48775	Q06587	Q12907	P36915						
Q9Y266	Q9BPX5	P09972	Q13509						
P07384	Q9Y3E1	Q9UL46	P18206						
P53396	P63220	Q9Y3D6	P46777						
P11021	P24752	P63104	Q09028						
O75694	P26599	P51116	P36957						
P19623	P62310	Q92544	Q07955						
Q9Y383	Q86TX2	P21926	P62314						
P62195	P04040	P60228	P06576						
P61978	P63173	P62937	P62979						
P35579	P61024	O60506	P04637						
Q92621	P05386	Q06587	Q16543						
Q9H9B4	P22087	Q9BPX5	P78346						
P39748	P48775	Q9Y3E1	O43143						
P63208	Q9Y266	P63220	Q12907						
P00390	P07384	P24752	P09972						
P39023	P53396	P26599	Q9UL46						
Q8N163	P11021	P62310	Q9Y3D6						
Q15427	O75694	Q86TX2	P63104						
P52272	P19623	P04040	P51116						
Q9HD45	Q9Y383	P63173	Q92544						
P62318	P62195	P14923	P21926						
P14625	P61978	P61024	P60228						
Q9BUF5	P35579	P05386	P62937						
Q8NC51	Q92621	P22087	O60506						
Q06210	Q9H9B4	P48775	Q06587						
P16949	P39748	Q9Y266	Q9BPX5						
Q13126	P63208	P07384	P14927						
P13010	P00390	P53396	Q9Y3E1						
Q9H0D6	P39023	P11021	P63220						
O43684	Q8N163	O75694	P24752						
P09525	Q15427	P19623	P26599						
O75083	P52272	Q9Y383	P62310						
O15145	Q9HD45	P62195	Q86TX2						
P13674	P62318	P61978	P04040						
P16152	P14625	P35579	P63173						
P50914	Q9BUF5	Q92621	P61024						
Q16401	Q8NC51	Q9H9B4	P05386						
Q92974	Q06210	P39748	P22087						
P30086	P16949	P63208	P48775						
P07954	Q13126	P00390	Q9Y266						
Q9H6R4	P13010	P39023	P07384						
Q9UKK9	Q9H0D6	Q8N163	P53396						
Q9BX68	O43684	Q15427	P11021						
